#Taxonomy,Kingdom,Phylum,Class,Order,Family,Genus
OTU1015,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium
OTU1093,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium
OTU1198,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium
OTU1523,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium
OTU1558,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium
OTU234,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Agrocybe
OTU1180,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Alatospora
OTU1074,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
OTU581,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
OTU617,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
OTU488,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita
OTU503,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita
OTU538,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita
OTU870,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Angulomycetaceae,Angulomyces
OTU1355,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Amorosiaceae,Angustimassarina
OTU1567,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum
OTU1564,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU1565,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU1566,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU1568,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU1574,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU1593,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU185,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria
OTU229,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria
OTU423,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys
OTU562,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys
OTU1324,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales_fam_Incertae_sedis,Arthrocatena
OTU1329,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales_fam_Incertae_sedis,Arthrocatena
OTU1301,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_ord_Incertae_sedis,Eremomycetaceae,Arthrographis
OTU1014,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Articulospora
OTU928,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Articulospora
OTU668,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus
OTU741,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
OTU520,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Athelia
OTU1528,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Exidiaceae,Basidiodendron
OTU907,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris
OTU947,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris
OTU1274,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Blastobotrys
OTU614,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,Botryobasidium
OTU1361,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiomycetes_ord_Incertae_sedis,Buckleyzymaceae,Buckleyzyma
OTU1582,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Bullera
OTU717,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Thermoascaceae,Byssochlamys
OTU762,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Thermoascaceae,Byssochlamys
OTU767,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Thermoascaceae,Byssochlamys
OTU273,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Cadophora
OTU311,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Calyptella
OTU1416,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida
OTU1461,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida
OTU1466,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida
OTU1495,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida
OTU1497,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida
OTU1631,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida
OTU1635,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida
OTU647,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida
OTU699,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capronia
OTU857,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Cephalotrichum
OTU675,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium
OTU723,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium
OTU746,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Ceriporiopsis
OTU1172,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium
OTU569,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium
OTU701,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Chaetosphaeronema
OTU1169,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Chalara
OTU1195,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Chalara
OTU975,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Chalara
OTU771,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenales_fam_Incertae_sedis,Chrysosporium
OTU833,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenales_fam_Incertae_sedis,Chrysosporium
OTU1222,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Cistella
OTU42,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora
OTU592,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora
OTU633,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora
OTU653,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora
OTU74,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora
OTU1162,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium
OTU878,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium
OTU1540,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus
OTU1559,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus
OTU1563,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus
OTU1584,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus
OTU1626,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus
OTU290,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Clitocybe
OTU271,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus
OTU307,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus
OTU1268,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys
OTU1267,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis,Microbotryomycetes_fam_Incertae_sedis,Colacogloea
OTU772,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
OTU925,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
OTU344,Fungi,Entomophthoromycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,Conidiobolus
OTU349,Fungi,Entomophthoromycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,Conidiobolus
OTU1031,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta
OTU727,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta
OTU836,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta
OTU843,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta
OTU844,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta
OTU852,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta
OTU875,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta
OTU883,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta
OTU888,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta
OTU890,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta
OTU891,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta
OTU974,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta
OTU993,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta
OTU1096,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Conlarium
OTU1150,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Conlarium
OTU1154,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Conlarium
OTU105,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe
OTU244,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe
OTU247,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe
OTU228,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis
OTU270,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis
OTU223,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Coprinus
OTU340,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Coprinus
OTU1076,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius
OTU258,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius
OTU346,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius
OTU95,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Crepidotaceae,Crepidotus
OTU1171,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Crocicreas
OTU1246,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus
OTU1598,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus
OTU1308,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis,Microbotryomycetes_fam_Incertae_sedis,Curvibasidium
OTU1052,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia
OTU1092,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia
OTU587,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia
OTU635,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia
OTU685,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia
OTU1389,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera
OTU830,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera
OTU603,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora
OTU1431,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiaceae,Cystobasidium
OTU754,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylella
OTU574,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Daedaleopsis
OTU568,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces
OTU1407,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella
OTU1410,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella
OTU232,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Dimorphospora
OTU1108,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Dissoconiaceae,Dissoconium
OTU952,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Drechmeria
OTU329,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Duddingtonia
OTU299,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma
OTU337,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma
OTU1159,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Exidiaceae,Exidia
OTU584,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala
OTU606,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala
OTU666,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala
OTU1095,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium
OTU1266,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium
OTU1480,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium
OTU1241,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Fimetariella
OTU1277,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium
OTU1293,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium
OTU1299,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium
OTU1414,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium
OTU531,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma
OTU1412,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Genolevuria
OTU1316,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Goffeauzyma
OTU1251,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Guehomyces
OTU305,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Gymnopilus
OTU1614,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella
OTU1562,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hanunidentifiedella
OTU1607,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hanunidentifiedella
OTU437,Fungi,Ascomycota,Sordariomycetes,Melanosporales,Ceratostomataceae,Harzia
OTU598,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Helicoma
OTU1123,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola
OTU1155,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha
OTU732,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Hymenula
OTU597,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Hyphodontia
OTU1456,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria
OTU1476,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria
OTU1262,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Keissleriella
OTU77,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Kochiomyces
OTU747,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Kondoa
OTU722,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Lecania
OTU728,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Lecanicillium
OTU774,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Lecanicillium
OTU623,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Coriolaceae,Lenzites
OTU932,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Stereocaulaceae,Lepraria
OTU992,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leptodontidium
OTU1506,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeria
OTU1146,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium
OTU1341,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium
OTU1379,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma
OTU1109,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia
OTU129,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia
